subID	modeli	name	Mp	delta	wp	nll	nllsd	success	iterations
1	1	McFadden	2.48692861443851	-0.32361455836799	NaN	247.872409473186	0.0338895401180485	1	25
1	2	LinearDistrb	2.20320892333984	-0.423772811889648	NaN	245.723765664332	0.049627761533056	2	13
1	3	DN	2.38470458984375	-0.2728515625	0.001068115234375	248.00119958584	0.0429665518108892	2	16
1	4	dDNb	2.20280233584344	-0.428324768133462	4.59738075730964e-06	245.697275320776	0.0511684476569297	2	24
1	5	dDNd	2.2919921875	-0.430294799804688	0	245.757386764501	0.0456346488698724	2	16
2	1	McFadden	56.4354357135016	0.0631744522717781	NaN	348.991411595389	0.0268699348176267	2	16
2	2	LinearDistrb	53.7638182087103	0.103562045295257	NaN	348.285400679642	0.0376099101674192	1	21
2	3	DN	57.4675891399384	0.0662202835083008	0	348.965747158546	0.023827207503152	2	15
2	4	dDNb	54.5805650628558	0.084247942082493	1.64594075591218e-07	348.255731166039	0.0352674315853097	1	26
2	5	dDNd	54.4395642280579	0.106563425064087	6.67572021439966e-07	348.30278015376	0.038005210373032	2	21
3	1	McFadden	6.18106954863038	-0.266622582483046	NaN	182.249217035492	0.0255775420095992	1	20
3	2	LinearDistrb	5.76931869611144	-0.362013044953346	NaN	190.306364878086	0.0312749972960595	2	17
3	3	DN	2.04450988769531	-0.175448608398438	0.138652038574219	179.438397668969	0.0377474559517782	2	11
3	4	dDNb	3.67961950413883	-0.349548251926899	0.0732748616486788	189.866319107748	0.0292198496462897	1	30
3	5	dDNd	3.47124010974539	-0.289357003626515	0.0740548358554178	189.598250911618	0.0352774634039695	1	28
4	1	McFadden	8.46496588371519	-0.352854502433775	NaN	121.658275186403	0.0202709536789599	2	16
4	2	LinearDistrb	8.11961383372545	-0.411080171912909	NaN	121.622645591188	0.0227281958074817	1	19
4	3	DN	8.49322425699211	-0.358848013353418	0	121.682529495776	0.0198751987337489	2	20
4	4	dDNb	8.04349232071399	-0.428362292840029	4.21123593696837e-05	121.63074894578	0.0287483018904879	1	23
4	5	dDNd	8.04829216003418	-0.424176216125488	0	121.616741986698	0.0242376376112012	2	16
5	1	McFadden	5.04864041507244	-0.303572583198547	NaN	148.92529636123	0.0623564187377288	2	11
5	2	LinearDistrb	4.10517406463623	-0.999999991059303	NaN	145.208495665354	0.0754435844909364	1	27
5	3	DN	5.22625710442662	-0.337176479585469	2.08616256491823e-08	148.917809803566	0.0404113137152077	2	29
5	4	dDNb	4.33454332575639	-0.999357513361611	2.60869128398955e-06	145.190061394454	0.0600761331924953	1	25
5	5	dDNd	4.02492904663086	-0.99999942779541	0	145.179127845506	0.0852586830756226	2	18
6	1	McFadden	32.545312166214	-0.463499367237091	NaN	240.235365447469	0.0424580680380455	2	11
6	2	LinearDistrb	32.0941863486404	-0.476235229373666	NaN	239.931329604751	0.0356516286727585	1	19
