subID	Model	randi	Mp0	delta0	wp0	scl0	Mp	delta	wp	scl	nll	nllsd	success	iterations
22071401.000000	1.000000	2.000000	64.196253	0.223355	NaN	NaN	2.069519	0.142834	NaN	NaN	249.330051	0.037237	2.000000	11.000000
22071401.000000	1.000000	39.000000	23.252985	-0.159625	NaN	NaN	11.973145	0.086328	NaN	NaN	337.189820	0.027727	2.000000	11.000000
22071401.000000	1.000000	11.000000	1.048702	0.728411	NaN	NaN	1.592163	0.519006	NaN	NaN	248.172689	0.033915	2.000000	11.000000
22071401.000000	1.000000	38.000000	15.564517	0.759211	NaN	NaN	4.202515	-0.239453	NaN	NaN	270.336348	0.029085	2.000000	11.000000
22071401.000000	1.000000	22.000000	99.081984	0.113507	NaN	NaN	1.741714	0.383842	NaN	NaN	248.007457	0.045418	2.000000	11.000000
22071401.000000	1.000000	5.000000	47.692246	0.280895	NaN	NaN	7.864258	-0.628516	NaN	NaN	290.887629	0.025721	2.000000	11.000000
22071401.000000	1.000000	1.000000	14.350950	0.409262	NaN	NaN	5.447266	0.363477	NaN	NaN	299.572826	0.030624	2.000000	12.000000
22071401.000000	1.000000	14.000000	3.457280	-0.276763	NaN	NaN	1.787600	0.371204	NaN	NaN	247.953967	0.030770	2.000000	11.000000
22071401.000000	1.000000	26.000000	12.023204	-0.354229	NaN	NaN	5.495605	1.285742	NaN	NaN	312.325966	0.027898	2.000000	12.000000
22071401.000000	1.000000	18.000000	61.581261	0.713744	NaN	NaN	5.930664	0.219922	NaN	NaN	301.843219	0.028509	2.000000	12.000000
22071401.000000	1.000000	34.000000	45.848155	0.750519	NaN	NaN	1.805113	0.201446	NaN	NaN	248.523420	0.038034	2.000000	11.000000
22071401.000000	1.000000	30.000000	16.186423	0.097585	NaN	NaN	7.429199	0.077979	NaN	NaN	312.114570	0.034150	2.000000	12.000000
22071401.000000	1.000000	10.000000	31.289195	0.043910	NaN	NaN	9.604492	-1.251367	NaN	NaN	296.020613	0.035677	2.000000	14.000000
22071401.000000	1.000000	31.000000	53.960844	-0.194771	NaN	NaN	1.754555	0.421301	NaN	NaN	247.904895	0.040787	2.000000	11.000000
22071401.000000	1.000000	7.000000	86.225074	0.430891	NaN	NaN	2.698468	-0.182115	NaN	NaN	254.884984	0.037456	2.000000	11.000000
22071401.000000	1.000000	23.000000	5.144580	-0.335194	NaN	NaN	1.589000	0.509913	NaN	NaN	248.192305	0.051146	2.000000	11.000000
22071401.000000	1.000000	4.000000	33.087689	-0.390590	NaN	NaN	1.582710	-2.573005	NaN	NaN	248.269170	0.051001	2.000000	15.000000
22071401.000000	1.000000	9.000000	22.781782	0.349375	NaN	NaN	1.745349	0.223242	NaN	NaN	248.725975	0.056938	2.000000	15.000000
22071401.000000	1.000000	29.000000	11.048192	-0.391059	NaN	NaN	1.918457	0.304297	NaN	NaN	248.410649	0.036185	2.000000	17.000000
22071401.000000	1.000000	21.000000	6.163209	-0.329077	NaN	NaN	4.770508	0.444482	NaN	NaN	292.881739	0.028381	2.000000	12.000000
22071401.000000	1.000000	15.000000	2.730127	-0.125934	NaN	NaN	1.789063	0.326169	NaN	NaN	248.052192	0.042858	2.000000	14.000000
22071401.000000	1.000000	28.000000	15.136942	0.041615	NaN	NaN	6.269043	-0.527881	NaN	NaN	283.516201	0.025703	1.000000	22.000000
22071401.000000	1.000000	27.000000	93.777266	0.475072	NaN	NaN	3.794647	-0.479871	NaN	NaN	266.650856	0.047051	2.000000	20.000000
