subID	modeli	name	Mp	delta	wp	scl	nll	nllsd	success	iterations
22071401	1	McFadden	1.75455474853516	0.42130126953125	NaN	NaN	247.904895103595	0.0407866991749259	2	11
22071401	2	LinearDistrb	0.661669441615231	-3.99600641265279	NaN	1.72485872695688	244.657210426477	0.0514540012165178	2	29
22071401	3	DN	1.70532731767389	-2.41952180336721	5.98256522099661e-09	NaN	247.965303414157	0.0413171203043011	1	22
22071401	4	dDNb	0.914350494742393	-3.25173625648022	0	1.52111707627773	244.991162061134	0.0437849924923316	2	24
22071401	5	dDNd	0.564046904577204	2.57451503682138	6.9013055270517e-09	1.85441588671677	244.798366909369	0.0392243245883678	2	28
22071402	1	McFadden	60.6483459472656	-0.0407470703125	NaN	NaN	349.023481391279	0.0357915701132126	2	11
22071402	2	LinearDistrb	51.3134335279465	-0.0213594913482666	NaN	6.75624370574951	343.280317713589	0.0326242941239838	1	23
22071402	3	DN	62.2846292411705	-0.10041894830938	0	NaN	348.998048486126	0.0333058026486222	2	18
22071402	4	dDNb	54.6002124547958	-0.0186275005340577	0	7.09461331367493	339.461024932362	0.0323196573448875	2	14
22071402	5	dDNd	52.030895258731	0.000804470826793108	7.25309234894667e-09	6.44878857997253	343.258028437789	0.0383546920256953	1	27
22071801	1	McFadden	4.64045499836698	0.344317633415903	NaN	NaN	182.261493395216	0.0342829896500223	1	24
22071801	2	LinearDistrb	4.68893432617188	0.311865997314453	NaN	0	182.251959096708	0.031549791149875	2	16
22071801	3	DN	1.5938490214503	-2.23714752708693	0.11503313564499	NaN	179.50797801523	0.0407068188338243	2	26
22071801	4	dDNb	1.95487049967051	0.241082626441494	0.101923041674308	0.0175213667098433	179.479904150133	0.0369620662611709	1	27
22071801	5	dDNd	1.7420783377238	0.280982586645405	0.107268269102497	0.00702582056692336	179.470241530593	0.0387887332322755	2	22
22071802	1	McFadden	5.59567446261644	0.492179496586323	NaN	NaN	121.678670491728	0.0161848417042784	2	18
22071802	2	LinearDistrb	4.51248413860912	0.735083661897318	NaN	1.13053600488684	121.663753597891	0.022374536467145	1	17
22071802	3	DN	5.57703838610905	0.513669420068618	0	NaN	121.707588287585	0.027748126821086	1	36
22071802	4	dDNb	4.31515391380208	0.7913004938472	8.02711652458932e-06	1.23924023426878	121.647229620785	0.021144385963894	1	30
22071802	5	dDNd	4.29539747838862	-2.83606475847773	1.5689572319344e-05	1.14371999725699	121.662274939776	0.0284780597522234	2	25
22071803	1	McFadden	3.39886474609375	-2.4710693359375	NaN	NaN	148.936193121252	0.0476073055714807	1	25
22071803	2	LinearDistrb	1.36865990608931	2.29015908241272	NaN	0.719028502702713	143.360803738147	0.0747742619174228	1	32
22071803	3	DN	3.3234635591507	0.555943727493286	0	NaN	149.022718040803	0.043825379209692	2	18
22071803	4	dDNb	0.987575739622116	-3.98044179677963	0.00812088847160342	0.826169490814209	145.232356516634	0.0618908690719895	2	35
22071803	5	dDNd	1.20383155718446	2.67357786595821	5.72912395002678e-06	0.680382754653692	143.211679620968	0.0878729783670982	1	31
22071804	1	McFadden	17.6151690483093	0.827975082397461	NaN	NaN	240.251757686658	0.0329566329825477	2	12
22071804	2	LinearDistrb	14.9976477672453	1.0896131769412	NaN	1.95056881587016	239.775662149856	0.0308300456229665	1	23
22071804	3	DN	2.78532752417959e-12	0.757524999616965	0.148051843522381	NaN	231.880777428676	0.0279120848744335	2	27
22071804	4	dDNb	9.31322574615479e-10	1.02916296049953	0.123090467974544	1.52734165452421	229.853818928109	0.0267690085311369	1	30
22071804	5	dDNd	2.11002770811319e-10	0.933447543738294	0.127887655861559	1.45798836006725	229.863679296537	0.0372703701629037	1	31
22071805	1	McFadden	47.5735431644207	-0.33119697716611	NaN	NaN	283.066608780556	0.0307539903161628	1	22
22071805	2	LinearDistrb	47.7108115165029	-0.325989292562008	NaN	0	283.131681770136	0.0337910626830883	2	17
22071805	3	DN	47.6598453521729	-0.334290313720703	0	NaN	283.149349689593	0.0371504563501635	2	20
22071805	4	dDNb	46.6474259793758	-0.3238640666008	0	0	283.094075084158	0.0352929846877044	2	20
22071805	5	dDNd	47.5514584970661	-0.334178043855354	3.63937579073159e-07	0	283.086471067742	0.0326597602052644	2	17
22071806	1	McFadden	6.58193016052246	0.791252136230469	NaN	NaN	154.668176582313	0.107168436368077	2	15
22071806	2	LinearDistrb	5.9669189453125	1.07257995605469	NaN	0.446243286132812	154.512704651481	0.093979642182362	2	16
22071806	3	DN	5.81112444400787	1.12877033948898	0	NaN	154.54794429515	0.0897046691266183	2	32
